year,date_iso,legacy_registration_key,category_code,old_current_category_name,restored_category_name
2015,2015-03-06,Conti15:34okydat.aco:188,43,-VESTITI.ML,-VEST.ML
2015,2015-03-12,Conti15:34okydat.aco:192,46,-TASSE.ALTRE,-ALTRE.TASSE
2015,2015-04-13,Conti15:34okydat.aco:198,17,-ROMA.GAS,-GAS.ROMA
2015,2015-04-20,Conti15:34okydat.aco:209,16,-ROMA.LUCE,-LUCE.ROMA
2015,2015-04-10,Conti15:34okydat.aco:227,14,-ROMA.CASA,-CASA.ROMA
2015,2015-04-15,Conti15:34okydat.aco:240,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2015,2015-03-03,Conti15:34okydat.aco:247,43,-VESTITI.ML,-VEST.ML
2015,2015-05-15,Conti15:34okydat.aco:268,26,-FONDI.ACQUA,-ACQUA.FONDI
2015,2015-05-11,Conti15:34okydat.aco:278,31,-ASSICURAZIONI.VARIE,-ASS.VARIE
2015,2015-05-04,Conti15:34okydat.aco:279,14,-ROMA.CASA,-CASA.ROMA
2015,2015-02-03,Conti15:34okydat.aco:296,46,-TASSE.ALTRE,-ALTRE.TASSE
2015,2015-04-30,Conti15:34okydat.aco:300,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2015,2015-05-25,Conti15:34okydat.aco:327,18,-ROMA.TELEFONO,-TF.ROMA
2015,2015-06-18,Conti15:34okydat.aco:342,16,-ROMA.LUCE,-LUCE.ROMA
2015,2015-06-08,Conti15:34okydat.aco:347,42,-VESTITI.ANDREA,-VEST.ANDREA
2015,2015-06-08,Conti15:34okydat.aco:351,43,-VESTITI.ML,-VEST.ML
2015,2015-06-08,Conti15:34okydat.aco:352,43,-VESTITI.ML,-VEST.ML
2015,2015-06-08,Conti15:34okydat.aco:353,42,-VESTITI.ANDREA,-VEST.ANDREA
2015,2015-06-08,Conti15:34okydat.aco:354,42,-VESTITI.ANDREA,-VEST.ANDREA
2015,2015-06-08,Conti15:34okydat.aco:355,43,-VESTITI.ML,-VEST.ML
2015,2015-06-08,Conti15:34okydat.aco:356,43,-VESTITI.ML,-VEST.ML
2015,2015-06-15,Conti15:34okydat.aco:373,17,-ROMA.GAS,-GAS.ROMA
2015,2015-06-08,Conti15:34okydat.aco:376,46,-TASSE.ALTRE,-ALTRE.TASSE
2015,2015-06-15,Conti15:34okydat.aco:389,43,-VESTITI.ML,-VEST.ML
2015,2015-06-15,Conti15:34okydat.aco:390,43,-VESTITI.ML,-VEST.ML
2015,2015-06-10,Conti15:34okydat.aco:410,46,-TASSE.ALTRE,-ALTRE.TASSE
2015,2015-06-25,Conti15:34okydat.aco:416,24,-FONDI.LUCE,-LUCE.FONDI
